rank,city,state,niche,payout_type,payout,avg_payout,zips,population,density,county,score
"899","West River","MD","Garage Door","CPL","38.5","38.5","1","4727","259","Anne Arundel","20.68"
"900","Cedar Park","TX","Garage Door","CPL","78","78","2","78301","1170","Williamson","20.66"
"901","Woodinville","WA","Garage Door","CPL","38.5","38.5","2","13438","924","King","20.64"
"902","Southlake","TX","Garage Door","CPL","81.5","81.5","1","31137","549","Tarrant","20.6"
"903","Brownsburg","IN","Garage Door","CPL","81.5","81.5","1","31215","688","Hendricks","20.58"
"904","Stone Park","IL","Garage Door","CPL","37.5","37.5","1","4482","4974","Cook","20.58"
"905","Norristown","PA","Garage Door","CPL","37.5","37.5","4","35893","3930","Montgomery","20.57"
"906","Narberth","PA","Garage Door","CPL","37.5","37.5","1","4511","3441","Montgomery","20.53"
"907","Pelham","AL","Garage Door","CPL","74","74","1","24827","244","Shelby","20.48"
"908","Greenfield","IN","Garage Door","CPL","74","74","1","24940","660","Hancock","20.44"
"909","University Park","TX","Garage Door","CPL","74","74","1","25155","2627","Dallas","20.37"
"910","Davidsonville","MD","Garage Door","CPL","38.5","38.5","1","4976","754","Anne Arundel","20.26"
"911","Riva","MD","Garage Door","CPL","38.5","38.5","1","4976","754","Anne Arundel","20.26"
"912","Middletown","MD","Garage Door","CPL","38.5","38.5","1","5014","931","Frederick","20.2"
"913","Abingdon","MD","Garage Door","CPL","38.5","38.5","1","5019","801","Harford","20.19"
"914","San Marcos","TX","Garage Door","CPL","74","74","2","72811","666","Hays","20.18"
"915","Platteville","CO","Garage Door","CPL","31","31","1","2928","336","Weld","20.17"
"916","Jenkintown","PA","Garage Door","CPL","37.5","37.5","1","4727","3100","Montgomery","20.15"
"917","Mineral Springs","NC","Garage Door","CPL","32.5","32.5","1","3314","153","Union","20.13"
"918","Beasley","TX","Garage Door","CPL","29","29","1","999","355","Fort Bend","20.1"
"919","Montgomery","TX","Garage Door","CPL","29","29","1","2489","152","Montgomery","20.1"
"920","Porter","TX","Garage Door","CPL","29","29","1","987","127","Montgomery","20.1"
"921","Franklin","IN","Garage Door","CPL","74","74","1","26168","641","Johnson","20.05"
"922","Lake Bluff","IL","Garage Door","CPL","41","41","1","6041","553","Lake","19.97"
"923","Carrollton","GA","Garage Door","CPL","75","75","1","27392","453","Carroll","19.95"
"924","Trussville","AL","Garage Door","CPL","74","74","1","26673","283","Jefferson","19.9"
"925","Celina","TX","Garage Door","CPL","81.5","81.5","1","34268","217","Collin","19.82"
"926","La Salle","CO","Garage Door","CPL","31","31","1","3061","1224","Weld","19.82"
"927","Royersford","PA","Garage Door","CPL","37.5","37.5","1","4945","2410","Montgomery","19.79"
"928","Balch Springs","TX","Garage Door","CPL","74","74","1","27255","1156","Dallas","19.73"
"929","Eagleville","PA","Garage Door","CPL","37.5","37.5","1","4985","1100","Montgomery","19.72"
"930","Flourtown","PA","Garage Door","CPL","37.5","37.5","1","4992","1316","Montgomery","19.71"
"931","Manassas","VA","Garage Door","CPL","38.5","38.5","4","42976","1674","Manassas","19.65"
"932","Clementon","NJ","Garage Door","CPL","38.5","38.5","1","5410","1092","Camden","19.6"
"933","Carlsbad","CA","Garage Door","CPL","86","86","2","114373","1169","San Diego","19.58"
"934","Glendora","NJ","Garage Door","CPL","38.5","38.5","1","5431","1992","Camden","19.57"
"935","Spring House","PA","Garage Door","CPL","37.5","37.5","1","5137","734","Montgomery","19.49"
"936","Tomball","TX","Garage Door","CPL","36.5","32.75","2","13655","386","Harris","19.44"
"937","Bridgeport","PA","Garage Door","CPL","37.5","37.5","1","5174","2979","Montgomery","19.43"
"938","Anniston","AL","Garage Door","CPL","74","74","2","80156","180","Calhoun","19.42"
"939","Clarksville","TN","Garage Door","CPL","74","74","4","227059","663","Montgomery","19.41"
"940","Berkeley","IL","Garage Door","CPL","37.5","37.5","1","5199","1439","Cook","19.39"
"941","Plainfield","IN","Garage Door","CPL","81.5","81.5","1","36369","513","Hendricks","19.36"
"942","Somerdale","NJ","Garage Door","CPL","38.5","38.5","1","5581","1535","Camden","19.35"
"943","Collegeville","PA","Garage Door","CPL","37.5","37.5","1","5247","1284","Montgomery","19.32"
"944","Brinklow","MD","Garage Door","CPL","38.5","38.5","1","5630","204","Montgomery","19.29"
"945","Carefree","AZ","Garage Door","CPL","32.5","32.5","1","3683","161","Maricopa","19.29"
"946","Fulton","MD","Garage Door","CPL","38.5","38.5","1","5677","606","Howard","19.22"
"947","Independence","KY","Garage Door","CPL","74","74","1","29392","632","Kenton","19.14"
"948","Ballston Spa","NY","Garage Door","CPL","36.5","36.5","1","5027","1226","Saratoga","19.13"
"949","Lowell","NC","Garage Door","CPL","32.5","32.5","1","3768","390","Gaston","19.12"
"950","Poolesville","MD","Garage Door","CPL","38.5","38.5","1","5764","560","Montgomery","19.11"
"951","Prosper","TX","Garage Door","CPL","81.5","81.5","1","37869","530","Collin","19.05"
"952","Colorado Springs","CO","Garage Door","CPL","35","35","27","643336","923","El Paso","19.03"
"953","Evanston","IL","Garage Door","CPL","41","41","5","76340","3799","Cook","19.01"
"954","Mechanicville","NY","Garage Door","CPL","36.5","36.5","1","5124","2367","Saratoga","18.99"
"955","Hightstown","NJ","Garage Door","CPL","38.5","38.5","1","5920","1837","Mercer","18.9"
"956","Princeton","NJ","Garage Door","CPL","38.5","38.5","3","30756","655","Mercer","18.9"
"957","Sachse","TX","Garage Door","CPL","74","74","1","30491","1153","Dallas","18.86"
"958","Allen","TX","Garage Door","CPL","81.5","81.5","2","110265","1575","Collin","18.83"
"959","Liberty","MO","Garage Door","CPL","74","74","1","30689","396","Clay","18.81"
"960","Manitou Springs","CO","Garage Door","CPL","35","35","1","4735","588","El Paso","18.79"
"961","Redan","GA","Garage Door","CPL","74","74","1","31017","1452","DeKalb","18.73"
"962","Hutto","TX","Garage Door","CPL","78","78","1","35483","840","Williamson","18.71"
"963","Norwood Young America","MN","Garage Door","CPL","32","32","1","3849","606","Carver","18.66"
"964","Vancouver","WA","Garage Door","CPL","36.5","36.5","11","195300","1525","Clark","18.66"
"965","Young America","MN","Garage Door","CPL","32","32","1","3849","606","Carver","18.66"
"966","Forney","TX","Garage Door","CPL","74","74","1","31532","686","Kaufman","18.61"
"967","Merion Station","PA","Garage Door","CPL","37.5","37.5","1","5788","1684","Montgomery","18.58"
"968","Mckinney","TX","Garage Door","CPL","81.5","81.5","3","210600","1143","Collin","18.54"
"969","Stanley","NC","Garage Door","CPL","32.5","32.5","1","4069","507","Gaston","18.54"
"970","Ballston Lake","NY","Garage Door","CPL","36.5","36.5","1","5445","630","Saratoga","18.53"
"971","Clifton Park","NY","Garage Door","CPL","36.5","36.5","1","5445","630","Saratoga","18.53"
"972","Sterling","VA","Garage Door","CPL","38.5","38.5","3","32411","2213","Loudoun","18.51"
"973","Gaithersburg","MD","Garage Door","CPL","38.5","38.5","5","69825","2585","Montgomery","18.5"
"974","Hampstead","MD","Garage Door","CPL","38.5","38.5","1","6251","729","Carroll","18.5"
"975","Paulsboro","NJ","Garage Door","CPL","38.5","38.5","1","6248","1247","Gloucester","18.5"
"976","Willow Springs","IL","Garage Door","CPL","37.5","37.5","1","5868","546","Cook","18.48"
"977","Zionsville","IN","Garage Door","CPL","74","74","1","32095","181","Boone","18.48"
"978","Bryn Mawr","PA","Garage Door","CPL","37.5","37.5","1","5880","2330","Montgomery","18.46"
"979","Haverford","PA","Garage Door","CPL","37.5","37.5","1","5880","2330","Montgomery","18.46"
"980","Needville","TX","Garage Door","CPL","29","29","1","3094","592","Fort Bend","18.46"
"981","District Heights","MD","Garage Door","CPL","37.5","37.5","1","5891","2625","Prince George's","18.45"
"982","Des Plaines","IL","Garage Door","CPL","41","38.38","4","59156","1611","Cook","18.42"
"983","Oreland","PA","Garage Door","CPL","37.5","37.5","1","5953","1544","Montgomery","18.37"
"984","Hoover","AL","Garage Door","CPL","74","74","2","92642","718","Jefferson","18.33"
"985","Florence","KY","Garage Door","CPL","74","74","1","32803","1117","Boone","18.32"
"986","Opelika","AL","Garage Door","CPL","74","74","1","32820","201","Lee","18.31"
"987","Walkersville","MD","Garage Door","CPL","38.5","38.5","1","6414","515","Frederick","18.31"
"988","San Diego","CA","Garage Door","CPL","86","86","16","3064435","1640","San Diego","18.3"
"989","Humble","TX","Garage Door","CPL","29","29","3","16521","642","Harris","18.26"
"990","Frisco","TX","Garage Door","CPL","81.5","81.5","3","219304","1184","Collin","18.24"
"991","Mount Laurel","NJ","Garage Door","CPL","38.5","38.5","1","6611","745","Burlington","18.09"
"992","La Quinta","CA","Garage Door","CPL","78","78","1","38707","419","Riverside","18.07"
"993","Fort Washington","PA","Garage Door","CPL","37.5","37.5","1","6271","724","Montgomery","17.99"
"994","Media","PA","Garage Door","CPL","36.5","36.5","1","5870","2970","Delaware","17.98"
"995","Middletown","OH","Garage Door","CPL","74","74","2","97529","746","Butler","17.96"
"996","Golden","CO","Garage Door","CPL","31","31","3","20417","820","Jefferson","17.93"
"997","Murrieta","CA","Garage Door","CPL","78","78","2","112064","1218","Riverside","17.9"
"998","Paoli","PA","Garage Door","CPL","37.5","37.5","1","6362","1174","Chester","17.89"
"999","Lincolnshire","IL","Garage Door","CPL","41","41","1","7980","671","Lake","17.86"
"1000","Wayzata","MN","Garage Door","CPL","32","32","1","4354","545","Hennepin","17.77"
